Start;End;Sleep Quality;Regularity;Mood;Steps;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2022-01-26 16:02:05;2022-01-27 07:16:58;88%;84%;;0;101.08;Thành phố Tây Ninh;204.91687;54893.226;22-01-27 00:45:20;22-01-27 01:10:00;false;0;72 ;Cloudy;
2022-01-28 20:48:52;2022-01-28 21:47:42;11%;31%;;0;101.06;Thành phố Tây Ninh;1.0;3529.115;22-01-29 05:01:42;22-01-29 05:25:00;false;0;82 ;Cloudy;
2022-01-30 20:29:59;2022-01-31 06:00:59;97%;28%;;0;100.96;Thành phố Tây Ninh;57.198425;34260.679;22-01-31 05:05:55;22-01-31 05:30:00;false;0;74 ;Cloudy;
2022-01-31 22:05:55;2022-02-01 06:53:04;86%;54%;;0;101.009995;Thành phố Tây Ninh;213.7503;31628.532;22-02-01 06:29:43;22-02-01 06:55:00;false;0;74 ;Sunny;
2022-02-02 21:15:46;2022-02-03 06:50:30;95%;86%;;0;101.18;Thành phố Tây Ninh;93.012024;34483.341;22-02-03 05:48:01;22-02-03 06:15:00;false;0;72 ;Cloudy;
2022-02-03 20:48:43;2022-02-04 05:56:18;97%;90%;;0;;Thành phố Tây Ninh;72.00229;32855.547;22-02-04 05:37:46;22-02-04 06:00:00;false;0;;;
2022-02-04 21:03:18;2022-02-05 06:45:23;100%;89%;;0;;;10.141205;34925.386;22-02-05 05:36:24;22-02-05 06:00:00;false;0;;;
2022-02-06 20:50:25;2022-02-07 06:32:16;98%;93%;;0;;;48.42935;34910.961;22-02-07 05:35:03;22-02-07 06:00:00;false;0;;;
2022-02-07 20:53:48;2022-02-08 06:20:48;100%;97%;;0;;;6.4638867;34020.159;22-02-08 05:35:07;22-02-08 06:00:00;false;0;;;
2022-02-08 21:16:16;2022-02-09 06:35:01;100%;96%;;0;;;19.302416;33525.103;22-02-09 05:37:09;22-02-09 06:00:00;false;0;;;
2022-02-09 20:57:44;2022-02-10 06:50:52;98%;96%;;0;;;38.70948;35588.057;22-02-10 06:07:17;22-02-10 06:30:00;false;0;;;
2022-02-10 21:31:42;2022-02-11 06:50:49;96%;95%;;0;;;79.04232;33547.542;22-02-11 06:05:01;22-02-11 06:30:00;false;0;;;
2022-02-14 18:13:38;2022-02-15 06:52:15;93%;—;;0;;;119.681465;45517.17;22-02-15 04:00:00;22-02-15 04:30:00;false;0;;;
2022-02-15 18:29:49;2022-02-16 05:40:54;100%;87%;;0;100.840004;Thành phố Tây Ninh;5.2388926;40265.264;22-02-16 04:00:00;22-02-16 04:30:00;false;0;74 ;Sunny;
2022-02-16 18:08:03;2022-02-17 07:36:18;90%;84%;;0;100.83;Thành phố Tây Ninh;167.9742;48495.289;22-02-17 04:00:00;22-02-17 04:30:00;true;131;73 ;Sunny;
2022-02-17 18:33:03;2022-02-18 06:41:18;93%;85%;;0;100.88;Thành phố Tây Ninh;121.90441;43694.852;22-02-18 04:05:00;22-02-18 04:35:00;true;139;74 ;Fair;
2022-02-18 18:32:26;2022-02-19 06:07:57;91%;88%;OK;0;;Thành phố Tây Ninh;124.07552;41730.801;22-02-19 04:36:47;22-02-19 05:00:00;false;0;74 ;;
2022-02-19 18:11:57;2022-02-20 05:50:41;93%;92%;Good;0;100.96;Thành phố Tây Ninh;63.19184;41924.336;22-02-20 04:05:30;22-02-20 04:30:00;false;0;75 ;Cloudy;
2022-02-20 18:22:28;2022-02-21 04:32:06;83%;92%;Good;0;101.11;Thành phố Tây Ninh;243.81082;36578.224;22-02-21 04:17:00;22-02-21 04:40:00;false;0;78 ;Cloudy;
2022-02-21 18:38:29;2022-02-22 03:07:24;77%;89%;OK;0;101.33;Thành phố Tây Ninh;390.63776;30535.532;22-02-22 04:16:15;22-02-22 04:40:00;true;373;74 ;Cloudy;
2022-02-22 18:07:23;2022-02-23 03:28:56;96%;88%;OK;0;101.28;Thành phố Tây Ninh;156.36903;33692.871;22-02-23 03:26:11;22-02-23 03:50:00;true;719;75 ;Cloudy;Tea
